item_id,timestamp,target_value,location
1,2021-10-01 16:00:00,408.366,13.066_80.268
1,2021-10-01 16:15:00,373.559,13.066_80.268
1,2021-10-01 16:30:00,376.911,13.066_80.268
1,2021-10-01 16:45:00,417.074,13.066_80.268
1,2021-10-01 17:00:00,416.215,13.066_80.268
1,2021-10-01 17:15:00,334.522,13.066_80.268
1,2021-10-01 17:30:00,322.552,13.066_80.268
1,2021-10-01 17:45:00,408.378,13.066_80.268
1,2021-10-01 18:00:00,383.380,13.066_80.268
1,2021-10-01 18:15:00,332.170,13.066_80.268
1,2021-10-01 18:30:00,311.888,13.066_80.268
1,2021-10-01 18:45:00,355.210,13.066_80.268
1,2021-10-01 19:00:00,355.426,13.066_80.268
1,2021-10-01 19:15:00,305.876,13.066_80.268
1,2021-10-01 19:30:00,336.661,13.066_80.268
1,2021-10-01 19:45:00,369.602,13.066_80.268
1,2021-10-01 20:00:00,380.153,13.066_80.268
1,2021-10-01 20:15:00,345.023,13.066_80.268
1,2021-10-01 20:30:00,342.520,13.066_80.268
1,2021-10-01 20:45:00,375.183,13.066_80.268
1,2021-10-01 21:00:00,361.683,13.066_80.268
1,2021-10-01 21:15:00,321.046,13.066_80.268
1,2021-10-01 21:30:00,351.732,13.066_80.268
1,2021-10-01 21:45:00,382.068,13.066_80.268
1,2021-10-01 22:00:00,382.038,13.066_80.268
1,2021-10-01 22:15:00,388.538,13.066_80.268
1,2021-10-01 22:30:00,378.553,13.066_80.268
1,2021-10-01 22:45:00,408.947,13.066_80.268
1,2021-10-01 23:00:00,421.262,13.066_80.268
1,2021-10-01 23:15:00,373.458,13.066_80.268
1,2021-10-01 23:30:00,395.618,13.066_80.268
1,2021-10-01 23:45:00,484.415,13.066_80.268
1,2021-10-02 00:00:00,484.684,13.066_80.268
1,2021-10-02 00:15:00,429.103,13.066_80.268
1,2021-10-02 00:30:00,358.860,13.066_80.268
1,2021-10-02 00:45:00,394.594,13.066_80.268
1,2021-10-02 01:00:00,400.744,13.066_80.268
1,2021-10-02 01:45:00,519.047,13.066_80.268
1,2021-10-02 02:00:00,528.460,13.066_80.268
1,2021-10-02 02:15:00,504.000,13.066_80.268
1,2021-10-02 02:30:00,508.954,13.066_80.268
1,2021-10-02 02:45:00,554.122,13.066_80.268
1,2021-10-02 03:00:00,559.982,13.066_80.268
1,2021-10-02 03:15:00,531.531,13.066_80.268
1,2021-10-02 03:30:00,501.896,13.066_80.268
1,2021-10-02 03:45:00,547.443,13.066_80.268
1,2021-10-02 04:00:00,537.184,13.066_80.268
1,2021-10-02 04:15:00,541.918,13.066_80.268
1,2021-10-02 04:30:00,529.486,13.066_80.268
1,2021-10-02 04:45:00,570.375,13.066_80.268
1,2021-10-02 05:00:00,564.188,13.066_80.268
1,2021-10-02 05:15:00,499.239,13.066_80.268
1,2021-10-02 05:30:00,491.292,13.066_80.268
1,2021-10-02 05:45:00,549.589,13.066_80.268
1,2021-10-02 06:00:00,518.753,13.066_80.268
1,2021-10-02 06:15:00,565.050,13.066_80.268
1,2021-10-02 06:30:00,548.235,13.066_80.268
1,2021-10-02 06:45:00,574.608,13.066_80.268
1,2021-10-02 07:00:00,558.139,13.066_80.268
1,2021-10-02 07:15:00,531.176,13.066_80.268
1,2021-10-02 07:30:00,465.901,13.066_80.268
1,2021-10-02 07:45:00,512.260,13.066_80.268
1,2021-10-02 08:00:00,560.450,13.066_80.268
1,2021-10-02 08:15:00,543.791,13.066_80.268
1,2021-10-02 08:30:00,513.036,13.066_80.268
1,2021-10-02 08:45:00,556.954,13.066_80.268
1,2021-10-02 09:00:00,567.824,13.066_80.268
1,2021-10-02 09:15:00,470.850,13.066_80.268
1,2021-10-02 09:30:00,433.769,13.066_80.268
1,2021-10-02 09:45:00,470.833,13.066_80.268
1,2021-10-02 10:00:00,451.359,13.066_80.268
1,2021-10-02 10:15:00,418.897,13.066_80.268
1,2021-10-02 10:30:00,416.193,13.066_80.268
1,2021-10-02 10:45:00,444.096,13.066_80.268
1,2021-10-02 11:00:00,406.464,13.066_80.268
1,2021-10-02 11:15:00,382.544,13.066_80.268
1,2021-10-02 11:30:00,386.697,13.066_80.268
1,2021-10-02 11:45:00,372.932,13.066_80.268
1,2021-10-02 12:00:00,360.021,13.066_80.268
1,2021-10-02 12:15:00,329.236,13.066_80.268
1,2021-10-02 12:30:00,319.197,13.066_80.268
1,2021-10-02 12:45:00,341.633,13.066_80.268
1,2021-10-02 13:00:00,341.545,13.066_80.268
1,2021-10-02 13:15:00,294.880,13.066_80.268
1,2021-10-02 13:30:00,314.505,13.066_80.268
1,2021-10-02 13:45:00,437.758,13.066_80.268
1,2021-10-02 14:00:00,384.264,13.066_80.268
1,2021-10-02 14:15:00,338.818,13.066_80.268
1,2021-10-02 14:30:00,322.731,13.066_80.268
1,2021-10-02 14:45:00,367.421,13.066_80.268
1,2021-10-02 15:00:00,385.267,13.066_80.268
1,2021-10-02 15:15:00,364.606,13.066_80.268
1,2021-10-02 15:30:00,357.923,13.066_80.268
1,2021-10-02 15:45:00,392.355,13.066_80.268
1,2021-10-02 16:00:00,425.315,13.066_80.268
1,2021-10-02 16:15:00,356.750,13.066_80.268
1,2021-10-02 16:30:00,360.333,13.066_80.268
1,2021-10-02 16:45:00,404.478,13.066_80.268
1,2021-10-02 17:00:00,406.778,13.066_80.268
1,2021-10-02 17:15:00,322.980,13.066_80.268
1,2021-10-02 17:30:00,321.607,13.066_80.268
1,2021-10-02 17:45:00,412.511,13.066_80.268
1,2021-10-02 18:00:00,397.305,13.066_80.268
1,2021-10-02 18:15:00,365.782,13.066_80.268
1,2021-10-02 18:30:00,360.105,13.066_80.268
1,2021-10-02 18:45:00,398.903,13.066_80.268
1,2021-10-02 19:00:00,378.550,13.066_80.268
1,2021-10-02 19:15:00,348.224,13.066_80.268
1,2021-10-02 19:30:00,328.844,13.066_80.268
1,2021-10-02 19:45:00,375.698,13.066_80.268
1,2021-10-02 20:00:00,366.058,13.066_80.268
1,2021-10-02 20:15:00,316.717,13.066_80.268
1,2021-10-02 20:30:00,335.571,13.066_80.268
1,2021-10-02 20:45:00,340.693,13.066_80.268
1,2021-10-02 21:00:00,340.914,13.066_80.268
1,2021-10-02 21:15:00,325.333,13.066_80.268
1,2021-10-02 21:30:00,299.535,13.066_80.268
1,2021-10-02 21:45:00,348.189,13.066_80.268
1,2021-10-02 22:00:00,333.798,13.066_80.268
1,2021-10-02 22:15:00,322.768,13.066_80.268
1,2021-10-02 22:30:00,329.265,13.066_80.268
1,2021-10-02 22:45:00,328.983,13.066_80.268
1,2021-10-02 23:00:00,353.547,13.066_80.268
1,2021-10-02 23:15:00,314.756,13.066_80.268
1,2021-10-02 23:30:00,298.602,13.066_80.268
1,2021-10-02 23:45:00,349.060,13.066_80.268
1,2021-10-03 00:00:00,481.025,13.066_80.268
1,2021-10-03 00:15:00,320.550,13.066_80.268
1,2021-10-03 00:30:00,308.005,13.066_80.268
1,2021-10-03 00:45:00,350.590,13.066_80.268
1,2021-10-03 01:00:00,346.891,13.066_80.268
1,2021-10-03 01:15:00,308.200,13.066_80.268
1,2021-10-03 01:30:00,306.842,13.066_80.268
1,2021-10-03 01:45:00,363.749,13.066_80.268
1,2021-10-03 02:00:00,354.481,13.066_80.268
1,2021-10-03 02:15:00,348.019,13.066_80.268
1,2021-10-03 02:30:00,365.320,13.066_80.268
1,2021-10-03 02:45:00,382.665,13.066_80.268
1,2021-10-03 03:00:00,396.576,13.066_80.268
1,2021-10-03 03:15:00,357.870,13.066_80.268
1,2021-10-03 03:30:00,338.475,13.066_80.268
1,2021-10-03 03:45:00,359.939,13.066_80.268
1,2021-10-03 04:00:00,365.528,13.066_80.268
1,2021-10-03 04:15:00,333.483,13.066_80.268
1,2021-10-03 04:30:00,328.989,13.066_80.268
1,2021-10-03 04:45:00,362.682,13.066_80.268
1,2021-10-03 05:00:00,354.451,13.066_80.268
1,2021-10-03 05:15:00,281.261,13.066_80.268
1,2021-10-03 05:30:00,276.536,13.066_80.268
1,2021-10-03 05:45:00,374.306,13.066_80.268
1,2021-10-03 06:00:00,376.215,13.066_80.268
1,2021-10-03 06:15:00,341.696,13.066_80.268
1,2021-10-03 06:30:00,333.774,13.066_80.268
1,2021-10-03 06:45:00,368.958,13.066_80.268
1,2021-10-03 07:00:00,362.051,13.066_80.268
1,2021-10-03 07:15:00,353.546,13.066_80.268
1,2021-10-03 07:30:00,342.963,13.066_80.268
1,2021-10-03 07:45:00,371.906,13.066_80.268
1,2021-10-03 08:00:00,381.612,13.066_80.268
1,2021-10-03 08:15:00,353.111,13.066_80.268
1,2021-10-03 08:30:00,334.566,13.066_80.268
1,2021-10-03 08:45:00,368.148,13.066_80.268
1,2021-10-03 09:00:00,388.791,13.066_80.268
1,2021-10-03 09:15:00,333.645,13.066_80.268
1,2021-10-03 09:30:00,323.831,13.066_80.268
1,2021-10-03 09:45:00,357.914,13.066_80.268
1,2021-10-03 10:00:00,342.975,13.066_80.268
1,2021-10-03 10:15:00,328.564,13.066_80.268
1,2021-10-03 10:30:00,267.334,13.066_80.268
1,2021-10-03 10:45:00,331.382,13.066_80.268
1,2021-10-03 11:00:00,308.853,13.066_80.268
1,2021-10-03 11:15:00,299.367,13.066_80.268
1,2021-10-03 11:30:00,259.880,13.066_80.268
1,2021-10-03 11:45:00,315.210,13.066_80.268
1,2021-10-03 12:00:00,308.942,13.066_80.268
1,2021-10-03 12:15:00,287.345,13.066_80.268
1,2021-10-03 12:30:00,211.297,13.066_80.268
1,2021-10-03 12:45:00,247.630,13.066_80.268
1,2021-10-03 13:00:00,250.680,13.066_80.268
1,2021-10-03 13:15:00,198.095,13.066_80.268
1,2021-10-03 13:30:00,169.931,13.066_80.268
1,2021-10-03 13:45:00,180.958,13.066_80.268
1,2021-10-03 14:00:00,200.444,13.066_80.268
1,2021-10-03 14:15:00,237.279,13.066_80.268
1,2021-10-03 14:30:00,293.153,13.066_80.268
1,2021-10-03 14:45:00,354.131,13.066_80.268
1,2021-10-03 15:00:00,334.262,13.066_80.268
1,2021-10-03 15:15:00,303.637,13.066_80.268
1,2021-10-03 15:30:00,288.984,13.066_80.268
1,2021-10-03 15:45:00,320.104,13.066_80.268
1,2021-10-03 16:00:00,331.995,13.066_80.268
1,2021-10-03 16:15:00,302.579,13.066_80.268
1,2021-10-03 16:30:00,264.356,13.066_80.268
1,2021-10-03 16:45:00,311.050,13.066_80.268
1,2021-10-03 17:00:00,310.475,13.066_80.268
1,2021-10-03 17:15:00,247.220,13.066_80.268
1,2021-10-03 17:30:00,240.884,13.066_80.268
1,2021-10-03 17:45:00,323.479,13.066_80.268
1,2021-10-03 18:00:00,311.612,13.066_80.268
1,2021-10-03 18:15:00,259.082,13.066_80.268
1,2021-10-03 18:30:00,251.375,13.066_80.268
1,2021-10-03 18:45:00,288.964,13.066_80.268
1,2021-10-03 19:00:00,290.382,13.066_80.268
1,2021-10-03 19:15:00,257.931,13.066_80.268
1,2021-10-03 19:30:00,247.316,13.066_80.268
1,2021-10-03 19:45:00,281.376,13.066_80.268
1,2021-10-03 20:00:00,278.862,13.066_80.268
1,2021-10-03 20:15:00,264.502,13.066_80.268
1,2021-10-03 20:30:00,256.754,13.066_80.268
1,2021-10-03 20:45:00,302.713,13.066_80.268
1,2021-10-03 21:00:00,279.620,13.066_80.268
1,2021-10-03 21:15:00,250.859,13.066_80.268
1,2021-10-03 21:30:00,234.532,13.066_80.268
1,2021-10-03 21:45:00,267.343,13.066_80.268
1,2021-10-03 22:00:00,277.640,13.066_80.268
1,2021-10-03 22:15:00,267.404,13.066_80.268
1,2021-10-03 22:30:00,258.985,13.066_80.268
1,2021-10-03 22:45:00,285.277,13.066_80.268
1,2021-10-03 23:00:00,278.528,13.066_80.268
1,2021-10-03 23:15:00,263.195,13.066_80.268
1,2021-10-03 23:30:00,287.920,13.066_80.268
1,2021-10-03 23:45:00,384.485,13.066_80.268
1,2021-10-04 00:00:00,451.137,13.066_80.268
1,2021-10-04 01:15:00,425.062,13.066_80.268
1,2021-10-04 01:30:00,426.881,13.066_80.268
1,2021-10-04 01:45:00,469.730,13.066_80.268
1,2021-10-04 02:00:00,481.045,13.066_80.268
1,2021-10-04 02:15:00,437.333,13.066_80.268
1,2021-10-04 02:30:00,394.181,13.066_80.268
1,2021-10-04 02:45:00,475.836,13.066_80.268
1,2021-10-04 03:00:00,496.865,13.066_80.268
1,2021-10-04 03:15:00,486.843,13.066_80.268
1,2021-10-04 03:30:00,471.812,13.066_80.268
1,2021-10-04 03:45:00,510.833,13.066_80.268
